Round,Accuracy,F1,Precision,Recall,Loss,Comm_MB,Seed,Model
32,0.9947658136166103,0.9947657339422991,0.9947957159756453,0.9947657386328611,0.02163790900690051,17.0361328125,42,mlp
33,0.9944760985031386,0.9944760652666017,0.994487858772477,0.9944760514975636,0.02194448997481511,17.568511962890625,42,mlp
34,0.9949782713664896,0.9949782044485715,0.9950044463503913,0.9949782012323887,0.020993083894539338,18.10089111328125,42,mlp
35,0.9949975857073877,0.9949975252443866,0.9950213185064168,0.9949975189306878,0.020174572280106638,18.633270263671875,42,mlp
36,0.9950169000482858,0.995016843118383,0.995039328105356,0.9950168351368118,0.020207619975106075,19.1656494140625,42,mlp
37,0.9951521004345727,0.995152033765897,0.9951791259000039,0.9951520291814051,0.019734294189570043,19.698028564453125,42,mlp
38,0.9956735876388219,0.9956735555518198,0.9956881361706433,0.9956735354110808,0.019847335795370433,20.23040771484375,42,mlp
39,0.9946692419121197,0.9946692191444717,0.9946775744141867,0.9946692023674921,0.020223689444649678,20.762786865234375,42,mlp
40,0.9951714147754708,0.9951713621038547,0.9951928315976093,0.9951713513562295,0.018975605041934893,21.295166015625,42,mlp
41,0.9952873008208595,0.9952872506088573,0.9953082222937939,0.995287238147749,0.018051474964102872,21.827545166015625,42,mlp
42,0.9950555287300821,0.9950554760486371,0.9950764403832961,0.9950554660568851,0.01892709706981595,22.35992431640625,42,mlp
43,0.9939546112988894,0.9939544770306441,0.9939982266676101,0.9939545206469995,0.020256421994417906,22.892303466796875,42,mlp
44,0.9951327860936745,0.9951327292094521,0.9951557373730038,0.9951327204361563,0.01799342591458788,23.4246826171875,42,mlp
45,0.9953645581844519,0.9953645247739,0.9953786858782423,0.9953645067026833,0.017941034864634275,23.957061767578125,42,mlp
46,0.9950555287300821,0.9950554696296174,0.9950790002048466,0.9950554623264475,0.018228235045591228,24.48944091796875,42,mlp
47,0.9951714147754708,0.9951713557632249,0.9951954215826003,0.995171347625792,0.017751507210330322,25.021820068359375,42,mlp
48,0.9951907291163689,0.9951906735426604,0.9952134233415699,0.995190663831916,0.017854502639518335,25.55419921875,42,mlp
49,0.9951327860936745,0.9951327330006855,0.9951542012401091,0.9951327226744189,0.017622840626595113,26.086578369140625,42,mlp
50,0.9947851279575084,0.9947850569872991,0.9948118516500812,0.9947850570772478,0.01864766673399852,26.61895751953125,42,mlp
